,Partners,date,DairyEggHoney,Cereal,Fish,FruitNut,LiveAnimal,Meat,Vegetables,TotalBalance,Rate Per Million
48,Germany,7/1/2018,105592.0,-64967.0,-218409.0,-920000.0,-17008.0,55443.0,-447827.0,-1463894,0.0
49,Portugal,7/1/2018,-32293.0,-82685.0,-106325.0,-25950.0,3578.0,-97068.0,-1106.0,-298567,0.0
50,Canada,2/1/2020,-5592.0,323589.0,77168.0,-336401.0,90945.0,339094.0,37368.0,570033,0.0
53,Czech Republic,7/1/2018,19667.0,34207.0,-10639.0,-49273.0,23215.0,-87944.0,-29933.0,-57418,0.0
54,"Bolivia, Plurinational State of",7/1/2018,-1088.0,3728.0,-897.0,26071.0,-875.0,688.0,2026.0,72935,0.0
55,Chile,2/1/2020,-10026.0,-63112.0,421928.0,517255.0,-1065.0,-50779.0,7948.0,866011,0.0
56,Georgia,7/1/2018,-5750.0,-10558.0,-1840.0,3306.0,1648.0,-974.0,-1202.0,27912,0.0
64,Costa Rica,2/1/2020,3575.0,-17040.0,-2013.0,190013.0,18.0,2835.0,9458.0,230708,0.0
65,Barbados,7/1/2018,-3809.0,-2491.0,-1678.0,-1406.0,-8.0,-3285.0,-1256.0,29349,0.0
68,Iceland,7/1/2018,-407.0,-2362.0,132802.0,-6201.0,62.0,-911.0,-3584.0,162681,0.0
69,Malaysia,7/1/2018,-32888.0,-93655.0,-24220.0,-32007.0,12669.0,-78556.0,-57023.0,-262398,0.0
72,Bosnia and Herzegovina,7/1/2018,-3835.0,-10605.0,-806.0,3315.0,-2842.0,-14480.0,1059.0,15088,0.0
76,El Salvador,7/1/2018,-13535.0,-22004.0,-2630.0,-5955.0,33.0,-16111.0,-5132.0,-22052,0.0
83,Greece,7/1/2018,-1490.0,-27349.0,31423.0,41338.0,-4761.0,-124984.0,-16661.0,-59202,0.0
84,El Salvador,2/1/2020,-16846.0,-19886.0,-776.0,-7794.0,-17.0,-19035.0,-6976.0,-27468,0.0
89,"Taipei, Chinese",7/1/2018,-58179.0,-139886.0,66438.0,-75184.0,22.0,-149496.0,-13081.0,-326084,0.0
99,Switzerland,7/1/2018,-3811.0,-19632.0,-47741.0,-95835.0,-7401.0,-62768.0,-21352.0,-215258,0.0
100,France,2/1/2020,222561.0,757252.0,-296798.0,-372235.0,153081.0,-111383.0,-88306.0,308034,0.0
102,"Korea, Republic of",7/1/2018,-80880.0,-344479.0,-228400.0,-155012.0,-7891.0,-412864.0,-29782.0,-1216026,0.0
105,Georgia,2/1/2020,-5874.0,-7755.0,-2000.0,266.0,419.0,-7694.0,-2905.0,18319,0.0
107,Germany,2/1/2020,167586.0,-2680.0,-230580.0,-753460.0,-45118.0,169853.0,-594901.0,-1245438,0.0
109,Japan,7/1/2018,-160164.0,-481565.0,-755687.0,-297983.0,4645.0,-934376.0,-195183.0,-2777031,0.0
110,Greece,2/1/2020,-10467.0,-6369.0,581.0,66734.0,-2458.0,-101328.0,-14855.0,-24300,0.0
126,Iceland,2/1/2020,-95.0,-1466.0,145183.0,-4439.0,1656.0,-724.0,-2616.0,181361,0.0
135,Ireland,2/1/2020,78368.0,-21494.0,42033.0,-35129.0,-15628.0,206967.0,-20051.0,278928,0.0
142,Japan,2/1/2020,-128987.0,-512588.0,-546271.0,-217296.0,-25653.0,-756617.0,-136902.0,-2280452,0.0
164,Lithuania,2/1/2020,25544.0,50348.0,-5272.0,-14474.0,1500.0,-1863.0,3083.0,102728,0.0
170,Madagascar,2/1/2020,-2684.0,-17313.0,8265.0,81.0,-14.0,-11.0,320.0,32506,0.0
174,Malaysia,2/1/2020,-38183.0,-160649.0,-26805.0,-42987.0,13505.0,-85806.0,-53649.0,-350712,0.0
187,France,8/1/2018,182756.0,473073.0,-334949.0,-303153.0,167444.0,-132067.0,-70733.0,25684,0.0
188,Spain,8/1/2018,-33077.0,-226867.0,-288537.0,430390.0,51683.0,400344.0,137370.0,514619,0.0
189,Brazil,8/1/2018,-20282.0,289921.0,-49558.0,-6844.0,48335.0,1326811.0,-7574.0,1624122,0.0
190,Canada,8/1/2018,-18464.0,516396.0,214775.0,-217384.0,66520.0,274290.0,179955.0,1059401,0.0
191,New Zealand,8/1/2018,347462.0,-26789.0,77280.0,180446.0,6973.0,289179.0,6848.0,924712,0.0
194,United States of America,8/1/2018,171489.0,1515165.0,-868376.0,-512218.0,-110912.0,733613.0,-463588.0,508486,0.0
199,Australia,8/1/2018,47491.0,293710.0,30031.0,128119.0,107015.0,892354.0,39160.0,1581193,0.0
203,Turkey,8/1/2018,53010.0,-85172.0,58818.0,169327.0,-107648.0,38254.0,50483.0,220385,0.0
204,New Zealand,2/1/2020,952738.0,-12996.0,75547.0,10194.0,17334.0,503246.0,38118.0,1628043,0.0
205,Argentina,8/1/2018,76793.0,568207.0,186040.0,75293.0,830.0,214321.0,40230.0,1205027,0.0
207,Norway,8/1/2018,-5998.0,-13980.0,883912.0,-58646.0,-1131.0,-8204.0,-29605.0,809661,0.0
209,Russian Federation,8/1/2018,-168294.0,1016038.0,225681.0,-282024.0,-20941.0,-142884.0,-15495.0,655394,0.0
211,Thailand,8/1/2018,-35525.0,427040.0,-111195.0,333673.0,22580.0,94517.0,6703.0,781106,0.0
212,South Africa,8/1/2018,7040.0,-7330.0,18673.0,454493.0,-13337.0,-48275.0,7440.0,462017,0.0
214,Norway,2/1/2020,-7220.0,-6645.0,886173.0,-56788.0,-1574.0,-5691.0,-36986.0,815131,0.0
215,Lithuania,8/1/2018,28367.0,66410.0,-9668.0,-18932.0,6915.0,-783.0,9624.0,125246,0.0
216,Ireland,8/1/2018,191702.0,-65780.0,22003.0,-46018.0,18328.0,221987.0,-24372.0,361163,0.0
219,Costa Rica,8/1/2018,8157.0,-32267.0,1992.0,145743.0,-473.0,-1142.0,10259.0,175582,0.0
222,Chile,8/1/2018,-23029.0,-50671.0,480375.0,355541.0,-1495.0,-91784.0,-2236.0,710014,0.0
223,Madagascar,8/1/2018,-2861.0,-8892.0,9248.0,142.0,-26.0,12.0,5555.0,46491,0.0
224,Paraguay,2/1/2020,-334.0,23947.0,-399.0,-190.0,-785.0,84789.0,-2170.0,148720,0.0
225,Paraguay,8/1/2018,-2614.0,59541.0,-296.0,-132.0,-928.0,112538.0,-2223.0,209199,0.0
229,United Kingdom,8/1/2018,-157155.0,-144610.0,-29095.0,-474590.0,12107.0,-281021.0,-251301.0,-1282352,0.0
231,Serbia,8/1/2018,4621.0,40251.0,-3047.0,32092.0,174.0,-1005.0,11122.0,127521,0.0
232,Portugal,2/1/2020,-19357.0,-64424.0,-69355.0,-8108.0,-5232.0,-79159.0,-20263.0,-222036,0.0
236,Germany,8/1/2018,58334.0,-104870.0,-230545.0,-826472.0,-20452.0,51210.0,-342681.0,-1372163,0.0
237,Portugal,8/1/2018,-29183.0,-85987.0,-112499.0,-28891.0,420.0,-104918.0,-8705.0,-326450,0.0
238,Czech Republic,8/1/2018,13844.0,49785.0,-8917.0,-57563.0,28229.0,-85893.0,-26201.0,-43403,0.0
243,"Bolivia, Plurinational State of",8/1/2018,-1316.0,3633.0,-1089.0,20711.0,-770.0,529.0,1687.0,66698,0.0
246,Georgia,8/1/2018,-3708.0,-9822.0,-1395.0,4515.0,4126.0,-5263.0,-1496.0,30270,0.0
251,Barbados,8/1/2018,-3039.0,-357.0,-1308.0,-1167.0,71.0,-2327.0,-1286.0,33900,0.0
252,Serbia,2/1/2020,750.0,43807.0,-2434.0,34866.0,2833.0,-8108.0,-3290.0,112286,0.0
255,Malaysia,8/1/2018,-38753.0,-165750.0,-16640.0,-43502.0,14996.0,-72541.0,-44210.0,-323087,0.0
258,Iceland,8/1/2018,130.0,-1789.0,137841.0,-5166.0,8.0,-1247.0,-2857.0,170233,0.0
262,Bosnia and Herzegovina,8/1/2018,-3622.0,-9347.0,-1180.0,410.0,-2228.0,-16983.0,771.0,11134,0.0
265,South Africa,2/1/2020,2933.0,-12594.0,9459.0,242794.0,-15498.0,-22198.0,15443.0,264201,0.0
266,El Salvador,8/1/2018,-12230.0,-22200.0,-3162.0,-7263.0,-146.0,-12153.0,-6168.0,-20009,0.0
270,Spain,2/1/2020,-35640.0,-206885.0,-248795.0,542697.0,98.0,607515.0,789810.0,1492662,0.0
271,Greece,8/1/2018,-11491.0,-32526.0,29161.0,56554.0,-5636.0,-117401.0,-12270.0,-50296,0.0
275,"Taipei, Chinese",8/1/2018,-51562.0,-93231.0,50949.0,-68945.0,-49.0,-124833.0,-14308.0,-258666,0.0
278,Switzerland,2/1/2020,12688.0,-28978.0,-45277.0,-96157.0,-7129.0,-41515.0,-72772.0,-235278,0.0
283,Switzerland,8/1/2018,2224.0,-9131.0,-46674.0,-102081.0,-6083.0,-52765.0,-23838.0,-195035,0.0
284,Thailand,2/1/2020,-51707.0,133776.0,-81234.0,48190.0,49272.0,83035.0,-13134.0,212060,0.0
288,"Korea, Republic of",8/1/2018,-77645.0,-245380.0,-237842.0,-103810.0,-3791.0,-465833.0,-44636.0,-1135624,0.0
291,Japan,8/1/2018,-140155.0,-509553.0,-905245.0,-277155.0,-12906.0,-934328.0,-190021.0,-2926050,0.0
292,Turkey,2/1/2020,46241.0,-259635.0,74032.0,272264.0,-39210.0,46355.0,82404.0,266313,0.0
299,United Kingdom,2/1/2020,-102718.0,-67792.0,-75125.0,-478670.0,22069.0,-218866.0,-352213.0,-1229453,0.0
323,Argentina,3/1/2020,74344.0,938280.0,132240.0,51119.0,-1291.0,248888.0,48164.0,1535635,0.0
328,Australia,3/1/2020,70398.0,305734.0,-16425.0,108219.0,103615.0,888924.0,81552.0,1585908,0.0
337,Barbados,3/1/2020,-2767.0,-2276.0,-1500.0,-1867.0,134.0,-4077.0,-1559.0,29979,0.0
348,Bosnia and Herzegovina,3/1/2020,-2144.0,-14714.0,-655.0,-6849.0,-2053.0,-9030.0,-4430.0,4016,0.0
351,Brazil,3/1/2020,-13855.0,-70370.0,-112601.0,16038.0,31061.0,1248666.0,-44375.0,1098455,0.0
363,Canada,3/1/2020,-13507.0,453508.0,76145.0,-396075.0,108602.0,308569.0,64170.0,645303,0.0
364,France,9/1/2018,180827.0,383175.0,-320052.0,-292107.0,189963.0,-125076.0,-60056.0,18,0.0
365,Spain,9/1/2018,-71997.0,-281681.0,-296721.0,296807.0,-2150.0,378490.0,230157.0,296249,0.0
366,Brazil,9/1/2018,-20577.0,449041.0,-56695.0,36771.0,105646.0,1261138.0,-10564.0,1808104,0.0
367,Canada,9/1/2018,-25245.0,505173.0,151876.0,-280877.0,69663.0,273644.0,245707.0,983285,0.0
368,Chile,3/1/2020,-19395.0,-60795.0,479858.0,556732.0,268.0,-34431.0,818.0,966946,0.0
373,United States of America,9/1/2018,155119.0,1327574.0,-835789.0,-146491.0,-123905.0,720110.0,-443196.0,696766,0.0
376,New Zealand,9/1/2018,477762.0,-22618.0,108116.0,199004.0,11020.0,220460.0,9516.0,1046604,0.0
377,Costa Rica,3/1/2020,8504.0,-24173.0,-5592.0,218228.0,403.0,338.0,8101.0,249700,0.0
378,Australia,9/1/2018,76229.0,262383.0,-531.0,67105.0,93524.0,842373.0,49135.0,1433562,0.0
381,Turkey,9/1/2018,53204.0,-108018.0,55545.0,294170.0,-205321.0,26986.0,63269.0,223179,0.0
382,Argentina,9/1/2018,88820.0,441428.0,197347.0,18429.0,923.0,211825.0,38069.0,1040185,0.0
384,Norway,9/1/2018,-6422.0,-19000.0,864461.0,-50150.0,-909.0,-7458.0,-26945.0,796921,0.0
385,Russian Federation,9/1/2018,-162101.0,1016895.0,340304.0,-290106.0,-15799.0,-131493.0,-13400.0,787644,0.0
386,Thailand,9/1/2018,-11865.0,411533.0,-125586.0,138563.0,19393.0,76718.0,26346.0,578446,0.0
388,Ireland,9/1/2018,197498.0,-56060.0,23142.0,-42520.0,16341.0,269586.0,-22421.0,428910,0.0
391,Lithuania,9/1/2018,26188.0,25667.0,-10704.0,-8975.0,3321.0,-56.0,6160.0,84945,0.0
393,South Africa,9/1/2018,8472.0,-17196.0,14164.0,368681.0,-10180.0,-42369.0,5739.0,370655,0.0
396,Costa Rica,9/1/2018,8574.0,-14634.0,3972.0,153629.0,-191.0,1587.0,8520.0,204801,0.0
397,El Salvador,3/1/2020,-16760.0,-19003.0,501.0,-8402.0,203.0,-19869.0,-11436.0,-30875,0.0
400,United Kingdom,9/1/2018,-149850.0,-141731.0,-35300.0,-445151.0,27897.0,-300850.0,-253013.0,-1254654,0.0
402,Madagascar,9/1/2018,-2102.0,-15470.0,5543.0,770.0,-91.0,-13.0,3042.0,35023,0.0
404,Paraguay,9/1/2018,-2327.0,39461.0,-298.0,-127.0,-1151.0,89980.0,-901.0,167981,0.0
407,Chile,9/1/2018,-12181.0,-63809.0,370617.0,246161.0,-3582.0,-34446.0,-4779.0,541325,0.0
408,Serbia,9/1/2018,1865.0,39061.0,-3335.0,22158.0,-1721.0,-870.0,10709.0,111211,0.0
413,France,3/1/2020,299458.0,893922.0,-301611.0,-366701.0,170380.0,-61053.0,-53219.0,625067,2.0
414,Germany,9/1/2018,60664.0,-165775.0,-241059.0,-704278.0,17.0,80124.0,-376759.0,-1303722,0.0
415,Portugal,9/1/2018,-15478.0,-72506.0,-70230.0,-18993.0,1981.0,-85973.0,-4742.0,-222597,0.0
417,Czech Republic,9/1/2018,3334.0,40327.0,-6196.0,-44449.0,29564.0,-87499.0,-31369.0,-52944,0.0
418,Georgia,3/1/2020,-7783.0,-13209.0,-2804.0,755.0,544.0,-10052.0,-3547.0,7795,0.0
420,Germany,3/1/2020,113160.0,120623.0,-262002.0,-865054.0,-74680.0,137252.0,-663708.0,-1450518,1.0
422,"Bolivia, Plurinational State of",9/1/2018,-1313.0,6378.0,-892.0,14426.0,-724.0,601.0,2371.0,64191,0.0
423,Greece,3/1/2020,4291.0,-12806.0,8758.0,56893.0,-4990.0,-94798.0,-900.0,339,0.0
425,Georgia,9/1/2018,-5556.0,-15596.0,-3079.0,4479.0,2784.0,-5381.0,-1362.0,19633,0.0
429,Barbados,9/1/2018,-2103.0,-2208.0,-1036.0,-1337.0,99.0,-1050.0,-1341.0,34368,0.0
432,Malaysia,9/1/2018,-12785.0,-121803.0,-26328.0,-40044.0,8555.0,-78148.0,-54153.0,-281362,0.0
435,Iceland,9/1/2018,-31.0,-1331.0,146499.0,-4923.0,346.0,452.0,-2796.0,181560,0.0
438,Bosnia and Herzegovina,9/1/2018,-4240.0,-9034.0,-225.0,-1398.0,-2789.0,-14379.0,-1507.0,9772,0.0
439,Iceland,3/1/2020,-76.0,-2446.0,191578.0,-5524.0,421.0,-1144.0,-3277.0,223423,0.0
444,El Salvador,9/1/2018,-10974.0,-16512.0,-1709.0,-8287.0,187.0,-12778.0,-8382.0,-15111,0.0
448,Ireland,3/1/2020,142366.0,-38495.0,33964.0,-40062.0,-14585.0,250583.0,-19689.0,357973,0.0
449,Greece,9/1/2018,-31141.0,-39987.0,27334.0,53992.0,-6677.0,-109306.0,-17659.0,-80100,0.0
455,Japan,3/1/2020,-168994.0,-581490.0,-646085.0,-266599.0,-9844.0,-839169.0,-218580.0,-2686870,2.0
456,"Taipei, Chinese",9/1/2018,-40327.0,-112821.0,38635.0,-70992.0,-119.0,-138448.0,-28798.0,-309526,0.0
465,Switzerland,9/1/2018,12799.0,-26767.0,-47976.0,-91345.0,-2626.0,-52950.0,-27579.0,-193100,0.0
470,"Korea, Republic of",9/1/2018,-57112.0,-219728.0,-283766.0,-71559.0,-6372.0,-416175.0,-48762.0,-1060130,0.0
474,Japan,9/1/2018,-126776.0,-466338.0,-795515.0,-232776.0,-13513.0,-773196.0,-182995.0,-2547765,0.0
477,Lithuania,3/1/2020,22740.0,129594.0,-5818.0,-13466.0,-1012.0,-7520.0,-7077.0,161332,0.0
483,Madagascar,3/1/2020,-1682.0,-6066.0,6993.0,-33.0,-47.0,-6.0,184.0,43234,0.0
487,Malaysia,3/1/2020,-49661.0,-164068.0,-26075.0,-60222.0,11429.0,-117645.0,-73006.0,-435357,0.0
517,New Zealand,3/1/2020,911393.0,-14114.0,101891.0,174352.0,23005.0,588966.0,58547.0,1887931,0.0
527,Norway,3/1/2020,-8863.0,-9825.0,872215.0,-63782.0,-131.0,-6955.0,-43099.0,783451,0.0
537,Paraguay,3/1/2020,-880.0,45256.0,-264.0,-522.0,-950.0,98643.0,-2711.0,182463,0.0
545,Portugal,3/1/2020,-21308.0,-85132.0,-131342.0,4223.0,8479.0,-84488.0,-17622.0,-283299,0.0
551,France,10/1/2018,251972.0,431124.0,-390497.0,-295936.0,214275.0,-113607.0,-55471.0,85234,0.0
552,Spain,10/1/2018,-34807.0,-290425.0,-339909.0,445525.0,7567.0,452159.0,336456.0,619940,0.0
554,Brazil,10/1/2018,-39324.0,422581.0,-87623.0,60404.0,35368.0,1202356.0,-18788.0,1618348,0.0
556,Canada,10/1/2018,-24391.0,581127.0,104645.0,-272742.0,58118.0,297022.0,166088.0,953241,0.0
561,United States of America,10/1/2018,115264.0,1451356.0,-1236143.0,-23635.0,-67763.0,839901.0,-535304.0,587050,0.0
564,Australia,10/1/2018,75582.0,133978.0,-8350.0,5908.0,123462.0,818207.0,33736.0,1225897,0.0
565,Serbia,3/1/2020,-85.0,71794.0,-3061.0,29905.0,2208.0,-6404.0,-5521.0,132727,0.0
568,New Zealand,10/1/2018,808724.0,-28232.0,87853.0,102507.0,5438.0,278295.0,6315.0,1304274,0.0
569,Turkey,10/1/2018,66850.0,-126725.0,52312.0,404792.0,-145730.0,36038.0,58765.0,389676,0.0
571,Argentina,10/1/2018,94629.0,397336.0,263280.0,39228.0,-278.0,224933.0,37625.0,1100127,0.0
573,Ireland,10/1/2018,160594.0,-55991.0,23776.0,-42887.0,2339.0,237852.0,-22843.0,346214,0.0
575,Russian Federation,10/1/2018,-188324.0,1045466.0,525840.0,-404126.0,-14903.0,-157862.0,-27532.0,821933,0.0
576,Thailand,10/1/2018,-34045.0,438201.0,-185305.0,81001.0,15075.0,76061.0,22920.0,457282,0.0
577,Norway,10/1/2018,-6186.0,-21706.0,1120361.0,-64983.0,-2519.0,-5523.0,-30776.0,1032042,0.0
578,South Africa,3/1/2020,6164.0,-40447.0,16727.0,251563.0,-9137.0,-18237.0,15433.0,265957,0.0
580,Lithuania,10/1/2018,24942.0,45654.0,-15003.0,-13165.0,3703.0,2238.0,16370.0,108113,0.0
582,South Africa,10/1/2018,4429.0,-45176.0,22842.0,201155.0,-9374.0,-27952.0,7476.0,196774,0.0
583,Spain,3/1/2020,-54398.0,-179915.0,-310970.0,698029.0,-4138.0,676877.0,814708.0,1684084,2.0
584,Costa Rica,10/1/2018,5114.0,-33142.0,2122.0,174409.0,-380.0,-938.0,11392.0,201951,0.0
585,United Kingdom,10/1/2018,-154618.0,-127942.0,-27729.0,-477950.0,-101673.0,-311228.0,-260024.0,-1417790,0.0
588,Madagascar,10/1/2018,-2378.0,-31668.0,5500.0,942.0,-1.0,7.0,2791.0,18567,0.0
590,Paraguay,10/1/2018,-1961.0,51875.0,-469.0,-648.0,-1457.0,86696.0,-978.0,176432,0.0
591,Switzerland,3/1/2020,7422.0,-31656.0,-48532.0,-123603.0,-6594.0,-52993.0,-87516.0,-299581,0.0
593,Serbia,10/1/2018,-1975.0,44794.0,-6280.0,21055.0,-3065.0,-3234.0,5658.0,100327,0.0
595,Chile,10/1/2018,-18247.0,-89103.0,527768.0,286095.0,-1273.0,-17737.0,-5697.0,725180,0.0
596,Czech Republic,10/1/2018,5015.0,30747.0,-8558.0,-52174.0,40067.0,-98490.0,-42771.0,-82790,0.0
597,Thailand,3/1/2020,-50057.0,168290.0,-101704.0,235336.0,60241.0,99162.0,-2556.0,452603,0.0
599,Germany,10/1/2018,48385.0,-185622.0,-251450.0,-710743.0,20946.0,22065.0,-396333.0,-1409378,0.0
601,Portugal,10/1/2018,-25727.0,-54918.0,-100105.0,-19091.0,1103.0,-98167.0,-3504.0,-257035,0.0
604,"Bolivia, Plurinational State of",10/1/2018,-1465.0,5027.0,-1018.0,16325.0,-770.0,306.0,2100.0,63879,0.0
605,Turkey,3/1/2020,33544.0,-245937.0,53383.0,280955.0,-12084.0,45064.0,73891.0,272707,0.0
606,Georgia,10/1/2018,-4770.0,-12939.0,-4191.0,2620.0,1005.0,-4171.0,-408.0,20520,0.0
612,United Kingdom,3/1/2020,-131464.0,-124969.0,-109742.0,-518541.0,13202.0,-294835.0,-369186.0,-1491644,1.0
613,Barbados,10/1/2018,-2462.0,-296.0,-1079.0,-1632.0,82.0,-2888.0,-1329.0,33770,0.0
614,Malaysia,10/1/2018,-25115.0,-148811.0,-28692.0,-35177.0,12827.0,-75386.0,-50407.0,-307387,0.0
618,Iceland,10/1/2018,-210.0,-1785.0,169608.0,-5949.0,843.0,9517.0,-3178.0,212220,0.0
620,Bosnia and Herzegovina,10/1/2018,-3362.0,-9753.0,-51.0,-1627.0,-478.0,-14788.0,-1902.0,11413,0.0
623,El Salvador,10/1/2018,-13666.0,-22328.0,-4186.0,-8347.0,158.0,-13222.0,-8562.0,-26779,0.0
628,Greece,10/1/2018,-22992.0,-38494.0,19782.0,45707.0,-6730.0,-105655.0,-17944.0,-82952,0.0
632,"Taipei, Chinese",10/1/2018,-50230.0,-131525.0,38781.0,-59403.0,-2410.0,-116861.0,-24184.0,-302458,0.0
636,Argentina,4/1/2020,67379.0,940719.0,112028.0,50701.0,-1579.0,243447.0,52840.0,1509457,21.0
641,Australia,4/1/2020,66347.0,359588.0,-1439.0,121960.0,107354.0,776182.0,51092.0,1525006,167.0
642,Switzerland,10/1/2018,17860.0,-20604.0,-53018.0,-103745.0,-11350.0,-55391.0,-36686.0,-219560,0.0
646,"Korea, Republic of",10/1/2018,-70489.0,-361599.0,-343564.0,-89105.0,-6197.0,-466880.0,-52951.0,-1347411,0.0
650,Barbados,4/1/2020,-2341.0,-480.0,-1170.0,-1274.0,101.0,-2444.0,-974.0,35340,111.0
651,Japan,10/1/2018,-155362.0,-530938.0,-977237.0,-230059.0,-22736.0,-902987.0,-219931.0,-2995876,0.0
661,Bosnia and Herzegovina,4/1/2020,-2520.0,-15246.0,-903.0,-6525.0,-2543.0,-8112.0,-6865.0,1208,129.0
664,Brazil,4/1/2020,-15720.0,-181541.0,-31201.0,14387.0,34570.0,1175426.0,-46162.0,993681,30.0
676,Canada,4/1/2020,-17861.0,553264.0,84365.0,-331528.0,87292.0,234307.0,167684.0,821445,257.0
681,Chile,4/1/2020,-16687.0,-39007.0,449315.0,558250.0,-784.0,7529.0,-63.0,1002475,149.0
690,Costa Rica,4/1/2020,9694.0,-30606.0,-2002.0,164740.0,-297.0,2855.0,2094.0,190400,63.0
710,El Salvador,4/1/2020,-19586.0,-29713.0,338.0,-7763.0,337.0,-12855.0,-12701.0,-38021,5.0
726,France,4/1/2020,255079.0,813308.0,-238509.0,-412199.0,150600.0,-35703.0,-116071.0,460427,710.0
730,France,11/1/2018,245391.0,457646.0,-342998.0,-317733.0,171805.0,-112538.0,-69336.0,75642,0.0
731,Georgia,4/1/2020,-8275.0,-12908.0,-2003.0,344.0,94.0,-8322.0,-3022.0,9830,20.0
732,Spain,11/1/2018,-40552.0,-205638.0,-279382.0,547660.0,339.0,462222.0,557962.0,1086016,0.0
733,Germany,4/1/2020,90883.0,25570.0,-180206.0,-903782.0,-76391.0,103954.0,-667203.0,-1563253,781.0
734,Brazil,11/1/2018,-38723.0,539670.0,-91324.0,47268.0,47922.0,1133567.0,-14135.0,1667650,0.0
735,Canada,11/1/2018,-32024.0,524941.0,77232.0,-336423.0,76897.0,302211.0,57574.0,713813,0.0
736,Greece,4/1/2020,12600.0,-22492.0,20905.0,31093.0,-4482.0,-60840.0,-3586.0,17120,71.0
740,United States of America,11/1/2018,118627.0,1428558.0,-1189902.0,275990.0,-94799.0,804437.0,-524243.0,862073,0.0
742,Australia,11/1/2018,77719.0,124979.0,-13325.0,21300.0,107545.0,836896.0,42009.0,1240528,0.0
745,Turkey,11/1/2018,65126.0,-175099.0,55237.0,452627.0,-134532.0,42220.0,90525.0,439509,0.0
746,New Zealand,11/1/2018,996589.0,-9962.0,73937.0,29923.0,12776.0,355675.0,7052.0,1509395,0.0
748,Argentina,11/1/2018,100051.0,340298.0,161579.0,42283.0,140.0,220508.0,39607.0,947871,0.0
749,Ireland,11/1/2018,203013.0,-58994.0,38023.0,-36686.0,43360.0,243847.0,-21571.0,454397,0.0
751,Russian Federation,11/1/2018,-204314.0,850174.0,179105.0,-448032.0,-22124.0,-137982.0,-81523.0,178709,0.0
